title,number,body,state,created_at,closed_at,user,commits,additions,deletions,changed_files
Adding java port link.,24,"Hi.

If it might be of interest, I'm including a link to a Java port of `tinn` I've authored.

Thank you.",open,2019-11-19T02:05:55Z,,jjzazuet,1,1,0,1
Fix link errors on Ubuntu 18.04.,20,Just a small makefile fix.,closed,2019-02-28T00:46:49Z,2019-02-28T04:37:41Z,debatem1,1,1,1,1
Add Docker,16,"```
$  docker -v
Docker version 18.03.0-ce, build 0520e24
$ clone
$ docker build -t tinn .
$ docker images | grep tinn
tinn latest 9cfeaf8d3090 12 minutes ago 992kB
$ wget http://archive.ics.uci.edu/ml/machine-learning-databases/semeion/semeion.data
$ docker run --user $(id -u) --rm -v ${PWD}:/data tinn
$ du -sh saved.tinn 
72K	saved.tinn
```",open,2018-04-24T10:56:08Z,,ilyar,1,20,0,2
suppress warnings,15,"Fix annoying warnings (gcc-7.2.0 Ubuntu 17.10), while keeping minimalism in mind
Fix small comment typo",closed,2018-04-13T20:19:31Z,2018-04-19T21:59:02Z,nsauzede,2,4,4,1
Translate all code into C++,13,,closed,2018-04-12T03:51:15Z,2018-04-12T15:05:15Z,tsandstr,2,340,455,6
pendigits analog of `test.c`,12,"Extra test example using http://archive.ics.uci.edu/ml/machine-learning-databases/pendigits/ showing scaling of input values and conversion of single output value into a {0,1} vector (because otherwise it doesn't work all that well.)",open,2018-04-11T21:29:34Z,,rjp,2,388,0,2
replace call to powf with SQUARE macro,11,"As discussed in https://github.com/glouw/tinn/issues/10
:)",closed,2018-04-11T20:38:34Z,2018-04-11T23:17:54Z,Bl00drav3n,1,1,1,1
use standard %f format (%a seems less portable),9,%a format seems not supported on Windows Msys2 Mingw64 without using -posix CFLAGS,closed,2018-04-11T19:27:18Z,2018-04-11T19:28:13Z,nsauzede,1,4,4,1
fix msys/mingw portability,8,"I noticed a compile warning (%a not supported for printf) when trying to build tinn on windows/msys2/mingw64
Also the resulting tinn.exe do not seem to compute correctly (scores are funky)
By searching a bit about the %a issue, I stumbled on this : 
https://sourceforge.net/p/mingw-w64/mailman/mingw-w64-public/thread/51AC8937.3000409@videolan.org/
And adding -posix to CFLAGS on msys systems seems to do the trick
",closed,2018-04-11T18:56:02Z,2018-04-11T20:17:16Z,nsauzede,1,5,0,1
Update README.md to use float instead of double,3,The whole library uses `float` instead of `double`. I guess we should stick to it.,closed,2018-04-02T13:33:13Z,2018-04-02T17:17:58Z,saschagrunert,1,3,3,1
fix spelling,1,,closed,2018-03-31T14:04:45Z,2018-04-05T14:55:22Z,btnwtn,2,3,3,1
